table	column	relevance	reason
baseline_counts	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_counts	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_counts	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_counts	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_counts	units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_counts	scope	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_counts	count	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	nct_id	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_measurements	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_measurements	classification	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	category	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	title	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	param_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_measurements	param_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	param_value_num	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	dispersion_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
baseline_measurements	dispersion_value	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	dispersion_value_num	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	dispersion_lower_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	dispersion_upper_limit	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	explanation_of_na	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	number_analyzed	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	number_analyzed_units	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	population_description	Supporting	Results, outcomes, or adverse-event context potentially associated with study status or termination.
baseline_measurements	calculate_percentage	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
brief_summaries	id	Context	Available in the source table; retain for exploratory analysis or linkage.
brief_summaries	nct_id	Context	Available in the source table; retain for exploratory analysis or linkage.
brief_summaries	description	Context	Available in the source table; retain for exploratory analysis or linkage.
browse_conditions	id	Core	Condition or topic associated with the study.
browse_conditions	nct_id	Core	Condition or topic associated with the study.
browse_conditions	mesh_term	Core	Condition or topic associated with the study.
browse_conditions	downcase_mesh_term	Core	Condition or topic associated with the study.
browse_conditions	mesh_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
browse_interventions	id	Core	Intervention, treatment group, or intervention classification associated with the study.
browse_interventions	nct_id	Core	Intervention, treatment group, or intervention classification associated with the study.
browse_interventions	mesh_term	Core	Intervention, treatment group, or intervention classification associated with the study.
browse_interventions	downcase_mesh_term	Core	Intervention, treatment group, or intervention classification associated with the study.
browse_interventions	mesh_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	id	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	nct_id	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	number_of_facilities	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	number_of_nsae_subjects	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	number_of_sae_subjects	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	registered_in_calendar_year	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	nlm_download_date	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	actual_duration	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	were_results_reported	Context	Available in the source table; retain for exploratory analysis or linkage.
calculated_values	months_to_report_results	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	has_us_facility	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	has_single_facility	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	minimum_age_num	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	maximum_age_num	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	minimum_age_unit	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	maximum_age_unit	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	number_of_primary_outcomes_to_measure	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	number_of_secondary_outcomes_to_measure	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
calculated_values	number_of_other_outcomes_to_measure	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
central_contacts	id	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	nct_id	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	contact_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
central_contacts	name	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	phone	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	email	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	phone_extension	Core	Sponsor, responsible party, investigator, contact, or site information.
central_contacts	role	Core	Sponsor, responsible party, investigator, contact, or site information.
conditions	id	Core	Condition or topic associated with the study.
conditions	nct_id	Core	Condition or topic associated with the study.
conditions	name	Core	Condition or topic associated with the study.
conditions	downcase_name	Core	Condition or topic associated with the study.
countries	id	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
countries	nct_id	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
countries	name	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
countries	removed	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
design_group_interventions	id	Core	Intervention, treatment group, or intervention classification associated with the study.
design_group_interventions	nct_id	Core	Intervention, treatment group, or intervention classification associated with the study.
design_group_interventions	design_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
design_group_interventions	intervention_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
design_groups	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
design_groups	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
design_groups	group_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
design_groups	title	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
design_groups	description	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
design_outcomes	id	Context	Available in the source table; retain for exploratory analysis or linkage.
design_outcomes	nct_id	Context	Available in the source table; retain for exploratory analysis or linkage.
design_outcomes	outcome_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
design_outcomes	measure	Context	Available in the source table; retain for exploratory analysis or linkage.
design_outcomes	time_frame	Context	Available in the source table; retain for exploratory analysis or linkage.
design_outcomes	population	Context	Available in the source table; retain for exploratory analysis or linkage.
design_outcomes	description	Context	Available in the source table; retain for exploratory analysis or linkage.
designs	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
designs	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
designs	allocation	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	intervention_model	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	observational_model	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	primary_purpose	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	time_perspective	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	masking	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	masking_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	intervention_model_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	subject_masked	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	caregiver_masked	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	investigator_masked	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
designs	outcomes_assessor_masked	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
detailed_descriptions	id	Context	Available in the source table; retain for exploratory analysis or linkage.
detailed_descriptions	nct_id	Context	Available in the source table; retain for exploratory analysis or linkage.
detailed_descriptions	description	Context	Available in the source table; retain for exploratory analysis or linkage.
documents	id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
documents	nct_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
documents	document_id	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
documents	document_type	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
documents	url	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
documents	comment	Supporting	Study identifiers, references, linked records, or documents useful for provenance and enrichment.
drop_withdrawals	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
drop_withdrawals	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
drop_withdrawals	result_group_id	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
drop_withdrawals	ctgov_group_code	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
drop_withdrawals	period	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
drop_withdrawals	reason	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
drop_withdrawals	count	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
drop_withdrawals	drop_withdraw_comment	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
drop_withdrawals	reason_comment	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
drop_withdrawals	count_units	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	nct_id	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	sampling_method	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	gender	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
eligibilities	minimum_age	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
eligibilities	maximum_age	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
eligibilities	healthy_volunteers	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	population	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	criteria	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	gender_description	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
eligibilities	gender_based	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
eligibilities	adult	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	child	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
eligibilities	older_adult	Core	Study design, eligibility, progress, withdrawal, or participant-flow information.
facilities	id	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	nct_id	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	status	Core	Column name indicates a plausible termination predictor, outcome, timing, design, sponsor, population, intervention, or study-status feature.
facilities	name	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
facilities	city	Supporting	Geographic or site-level context that may be associated with study continuation or termination.
